occupancy,time_of_change
0,2024-10-30 20:02:22
1,2024-10-30 20:02:23
0,2024-10-30 20:02:27
1,2024-10-30 20:02:32
0,2024-10-30 20:02:35
1,2024-10-30 20:02:37
0,2024-10-30 20:02:54
1,2024-10-30 20:02:58
0,2024-10-30 20:02:59
1,2024-10-30 20:02:59
0,2024-10-30 20:03:00
1,2024-10-30 20:03:12
0,2024-10-30 20:03:12
1,2024-10-30 20:03:30
0,2024-10-30 20:03:30
1,2024-10-30 20:03:39
0,2024-10-30 20:03:39
1,2024-10-30 20:03:48
0,2024-10-30 20:03:49
1,2024-10-30 20:03:52
0,2024-10-30 20:03:53
1,2024-10-30 20:03:57
0,2024-10-30 20:04:00
1,2024-10-30 20:04:00
0,2024-10-30 20:04:02
1,2024-10-30 20:04:10
0,2024-10-30 20:04:10
1,2024-10-30 20:04:11
0,2024-10-30 20:04:12
1,2024-10-30 20:04:37
0,2024-10-30 20:04:38
1,2024-10-30 20:04:40
0,2024-10-30 20:04:50
1,2024-10-30 20:04:51
0,2024-10-30 20:04:53
1,2024-10-30 20:04:54
0,2024-10-30 20:04:57
1,2024-10-30 20:05:02
0,2024-10-30 20:05:03
1,2024-10-30 20:05:04
0,2024-10-30 20:05:05
1,2024-10-30 20:05:06
0,2024-10-30 20:05:56
1,2024-10-30 20:05:57
0,2024-10-30 20:06:14
1,2024-10-30 20:06:15
0,2024-10-30 20:06:54
1,2024-10-30 20:06:56
0,2024-10-30 20:06:57
1,2024-10-30 20:07:01
0,2024-10-30 20:07:02
1,2024-10-30 20:07:04
0,2024-10-30 20:07:05
1,2024-10-30 20:07:05
0,2024-10-30 20:07:06
1,2024-10-30 20:07:06
0,2024-10-30 20:07:08
1,2024-10-30 20:07:12
0,2024-10-30 20:07:13
1,2024-10-30 20:07:15
0,2024-10-30 20:07:17
